id,products,total,discountedTotal,userId,totalProducts,totalQuantity
101,"[{'id': 57, 'title': 'Fine Mesh Strainer', 'price': 9.99, 'quantity': 3, 'total': 29.97, 'discountPercentage': 3.5, 'discountedTotal': 28.92, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/thumbnail.webp'}, {'id': 153, 'title': 'Volleyball', 'price': 11.99, 'quantity': 3, 'total': 35.97, 'discountPercentage': 12.25, 'discountedTotal': 31.56, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/volleyball/thumbnail.webp'}, {'id': 133, 'title': 'Samsung Galaxy S10', 'price': 699.99, 'quantity': 2, 'total': 1399.98, 'discountPercentage': 5.59, 'discountedTotal': 1321.72, 'thumbnail': 'https://cdn.dummyjson.com/product-images/smartphones/samsung-galaxy-s10/thumbnail.webp'}, {'id': 22, 'title': 'Dog Food', 'price': 10.99, 'quantity': 1, 'total': 10.99, 'discountPercentage': 10.27, 'discountedTotal': 9.86, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp'}, {'id': 68, 'title': 'Pan', 'price': 24.99, 'quantity': 3, 'total': 74.97, 'discountPercentage': 3, 'discountedTotal': 72.72, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/thumbnail.webp'}]",1551.88,1464.78,101,5,12
102,"[{'id': 22, 'title': 'Dog Food', 'price': 10.99, 'quantity': 1, 'total': 10.99, 'discountPercentage': 10.27, 'discountedTotal': 9.86, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp'}, {'id': 111, 'title': 'Selfie Stick Monopod', 'price': 12.99, 'quantity': 1, 'total': 12.99, 'discountPercentage': 19.12, 'discountedTotal': 10.51, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-stick-monopod/thumbnail.webp'}, {'id': 53, 'title': 'Chopping Board', 'price': 12.99, 'quantity': 4, 'total': 51.96, 'discountPercentage': 8.03, 'discountedTotal': 47.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/chopping-board/thumbnail.webp'}, {'id': 45, 'title': 'House Showpiece Plant', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 7.46, 'discountedTotal': 74.01, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/house-showpiece-plant/thumbnail.webp'}, {'id': 63, 'title': 'Kitchen Sieve', 'price': 7.99, 'quantity': 2, 'total': 15.98, 'discountPercentage': 18.91, 'discountedTotal': 12.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/thumbnail.webp'}]",171.9,155.13,102,5,10
103,"[{'id': 37, 'title': 'Red Onions', 'price': 1.99, 'quantity': 5, 'total': 9.95, 'discountPercentage': 9.9, 'discountedTotal': 8.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/red-onions/thumbnail.webp'}, {'id': 39, 'title': 'Soft Drinks', 'price': 1.99, 'quantity': 4, 'total': 7.96, 'discountPercentage': 17.48, 'discountedTotal': 6.57, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/soft-drinks/thumbnail.webp'}, {'id': 18, 'title': 'Cat Food', 'price': 8.99, 'quantity': 2, 'total': 17.98, 'discountPercentage': 9.58, 'discountedTotal': 16.26, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp'}]",35.89,31.79,103,3,11
104,"[{'id': 87, 'title': 'Men Check Shirt', 'price': 27.99, 'quantity': 5, 'total': 139.95, 'discountPercentage': 11.38, 'discountedTotal': 124.02, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/men-check-shirt/thumbnail.webp'}, {'id': 24, 'title': 'Fish Steak', 'price': 14.99, 'quantity': 5, 'total': 74.95, 'discountPercentage': 4.23, 'discountedTotal': 71.78, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp'}, {'id': 32, 'title': 'Milk', 'price': 3.49, 'quantity': 3, 'total': 10.47, 'discountPercentage': 13.74, 'discountedTotal': 9.03, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/milk/thumbnail.webp'}, {'id': 66, 'title': 'Microwave Oven', 'price': 89.99, 'quantity': 4, 'total': 359.96, 'discountPercentage': 12.13, 'discountedTotal': 316.3, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/thumbnail.webp'}, {'id': 55, 'title': 'Egg Slicer', 'price': 6.99, 'quantity': 5, 'total': 34.95, 'discountPercentage': 14.76, 'discountedTotal': 29.79, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/egg-slicer/thumbnail.webp'}, {'id': 99, 'title': 'Amazon Echo Plus', 'price': 99.99, 'quantity': 5, 'total': 499.95, 'discountPercentage': 12.07, 'discountedTotal': 439.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/amazon-echo-plus/thumbnail.webp'}]",1120.23,990.53,104,6,27
105,"[{'id': 148, 'title': 'Golf Ball', 'price': 9.99, 'quantity': 2, 'total': 19.98, 'discountPercentage': 17.37, 'discountedTotal': 16.51, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/golf-ball/thumbnail.webp'}, {'id': 109, 'title': 'Monopod', 'price': 19.99, 'quantity': 3, 'total': 59.97, 'discountPercentage': 8.58, 'discountedTotal': 54.82, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/monopod/thumbnail.webp'}, {'id': 75, 'title': 'Tray', 'price': 16.99, 'quantity': 4, 'total': 67.96, 'discountPercentage': 7.48, 'discountedTotal': 62.88, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/thumbnail.webp'}]",147.91,134.21,105,3,9
106,"[{'id': 84, 'title': 'Gigabyte Aorus Men Tshirt', 'price': 24.99, 'quantity': 1, 'total': 24.99, 'discountPercentage': 0.94, 'discountedTotal': 24.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shirts/gigabyte-aorus-men-tshirt/thumbnail.webp'}, {'id': 166, 'title': 'Tartan Dress', 'price': 39.99, 'quantity': 2, 'total': 79.98, 'discountPercentage': 12.95, 'discountedTotal': 69.62, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/tartan-dress/thumbnail.webp'}]",104.97,94.38,106,2,3
107,"[{'id': 52, 'title': 'Carbon Steel Wok', 'price': 29.99, 'quantity': 1, 'total': 29.99, 'discountPercentage': 6.53, 'discountedTotal': 28.03, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/carbon-steel-wok/thumbnail.webp'}, {'id': 47, 'title': 'Table Lamp', 'price': 49.99, 'quantity': 2, 'total': 99.98, 'discountPercentage': 7.09, 'discountedTotal': 92.89, 'thumbnail': 'https://cdn.dummyjson.com/product-images/home-decoration/table-lamp/thumbnail.webp'}]",129.97,120.92,107,2,3
108,"[{'id': 142, 'title': 'Cricket Ball', 'price': 12.99, 'quantity': 1, 'total': 12.99, 'discountPercentage': 8.63, 'discountedTotal': 11.87, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp'}, {'id': 106, 'title': 'Apple Watch Series 4 Gold', 'price': 349.99, 'quantity': 3, 'total': 1049.97, 'discountPercentage': 12.02, 'discountedTotal': 923.76, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/apple-watch-series-4-gold/thumbnail.webp'}]",1062.96,935.63,108,2,4
109,"[{'id': 78, 'title': 'Apple MacBook Pro 14 Inch Space Grey', 'price': 1999.99, 'quantity': 5, 'total': 9999.95, 'discountPercentage': 4.69, 'discountedTotal': 9530.95, 'thumbnail': 'https://cdn.dummyjson.com/product-images/laptops/apple-macbook-pro-14-inch-space-grey/thumbnail.webp'}, {'id': 93, 'title': 'Brown Leather Belt Watch', 'price': 89.99, 'quantity': 1, 'total': 89.99, 'discountPercentage': 5.99, 'discountedTotal': 84.6, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-watches/brown-leather-belt-watch/thumbnail.webp'}]",10089.94,9615.55,109,2,6
110,"[{'id': 170, 'title': 'Durango SXT RWD', 'price': 36999.99, 'quantity': 1, 'total': 36999.99, 'discountPercentage': 16.44, 'discountedTotal': 30917.19, 'thumbnail': 'https://cdn.dummyjson.com/product-images/vehicle/durango-sxt-rwd/thumbnail.webp'}, {'id': 163, 'title': 'Girl Summer Dress', 'price': 19.99, 'quantity': 3, 'total': 59.97, 'discountPercentage': 19.2, 'discountedTotal': 48.46, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tops/girl-summer-dress/thumbnail.webp'}, {'id': 38, 'title': 'Rice', 'price': 5.99, 'quantity': 4, 'total': 23.96, 'discountPercentage': 9.29, 'discountedTotal': 21.73, 'thumbnail': 'https://cdn.dummyjson.com/product-images/groceries/rice/thumbnail.webp'}, {'id': 61, 'title': 'Hand Blender', 'price': 34.99, 'quantity': 2, 'total': 69.98, 'discountPercentage': 17.02, 'discountedTotal': 58.07, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/thumbnail.webp'}, {'id': 92, 'title': 'Sports Sneakers Off White Red', 'price': 109.99, 'quantity': 5, 'total': 549.9499999999999, 'discountPercentage': 0.04, 'discountedTotal': 549.73, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mens-shoes/sports-sneakers-off-white-red/thumbnail.webp'}]",37703.85,31595.18,110,5,15
111,"[{'id': 12, 'title': 'Annibale Colombo Sofa', 'price': 2499.99, 'quantity': 5, 'total': 12499.949999999999, 'discountPercentage': 14.4, 'discountedTotal': 10699.96, 'thumbnail': 'https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp'}, {'id': 161, 'title': 'Samsung Galaxy Tab White', 'price': 349.99, 'quantity': 4, 'total': 1399.96, 'discountPercentage': 18.2, 'discountedTotal': 1145.17, 'thumbnail': 'https://cdn.dummyjson.com/product-images/tablets/samsung-galaxy-tab-white/thumbnail.webp'}]",13899.91,11845.13,111,2,9
112,"[{'id': 172, 'title': ""Blue Women's Handbag"", 'price': 49.99, 'quantity': 4, 'total': 199.96, 'discountPercentage': 17.88, 'discountedTotal': 164.21, 'thumbnail': ""https://cdn.dummyjson.com/product-images/womens-bags/blue-women's-handbag/thumbnail.webp""}, {'id': 49, 'title': 'Black Aluminium Cup', 'price': 5.99, 'quantity': 1, 'total': 5.99, 'discountPercentage': 15.65, 'discountedTotal': 5.05, 'thumbnail': 'https://cdn.dummyjson.com/product-images/kitchen-accessories/black-aluminium-cup/thumbnail.webp'}, {'id': 142, 'title': 'Cricket Ball', 'price': 12.99, 'quantity': 3, 'total': 38.97, 'discountPercentage': 8.63, 'discountedTotal': 35.61, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sports-accessories/cricket-ball/thumbnail.webp'}, {'id': 156, 'title': 'Green and Black Glasses', 'price': 34.99, 'quantity': 4, 'total': 139.96, 'discountPercentage': 1.01, 'discountedTotal': 138.55, 'thumbnail': 'https://cdn.dummyjson.com/product-images/sunglasses/green-and-black-glasses/thumbnail.webp'}]",384.88,343.42,112,4,12
113,"[{'id': 1, 'title': 'Essence Mascara Lash Princess', 'price': 9.99, 'quantity': 5, 'total': 49.95, 'discountPercentage': 10.48, 'discountedTotal': 44.72, 'thumbnail': 'https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp'}, {'id': 110, 'title': 'Selfie Lamp with iPhone', 'price': 14.99, 'quantity': 5, 'total': 74.95, 'discountPercentage': 19.4, 'discountedTotal': 60.41, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/selfie-lamp-with-iphone/thumbnail.webp'}, {'id': 112, 'title': 'TV Studio Camera Pedestal', 'price': 499.99, 'quantity': 3, 'total': 1499.97, 'discountPercentage': 8.31, 'discountedTotal': 1375.32, 'thumbnail': 'https://cdn.dummyjson.com/product-images/mobile-accessories/tv-studio-camera-pedestal/thumbnail.webp'}]",1624.87,1480.45,113,3,13
